Label,Name,Text
person,"Abd al-Aziz Bin Baz","Abd al-Aziz Bin Baz"
person,"Abd al-Qadir","Abd al-Qadir"
person,"Abdallah bin Rashid al-Baghdadi","Abdallah bin Rashid al-Baghdadi"
person,"Abdul Aziz Al-Muqrin","Abdul Aziz Al-Muqrin"
person,"Abdul Rasul Sayyaf","Abdul Rasul Sayyaf"
person,"Abdullah Hamed Abdullah","Abdullah Hamed Abdullah"
person,"Abdullah Sungkar","Abdullah Sungkar"
person,"Abdulrajak Janjalani","Abdulrajak Janjalani"
person,"Abid","Abid"
person,"Abu Anas al-Shami","Abu Anas al-Shami"
person,"Abu Basir al-Tartusi","Abu Basir al-Tartusi"
person,"Abu Ikhlas al-Masri","Abu Ikhlas al-Masri"
person,"Abu Maysara al-Iraqi","Abu Maysara al-Iraqi"
person,"Abu Musab al-Suri","Abu Musab al-Suri"
person,"Abu Omar al-Baghdadi","Abu Omar al-Baghdadi"
person,"Abu Sayyaf","Abu Sayyaf"
person,"Abu Yasir al-Sa`udi","Abu Yasir al-Sa`udi"
person,"Abu Zubair al-Haili","Abu Zubair al-Haili"
person,"Abu al-A la Mawdudi","Abu al-A la Mawdudi"
person,"Abu-Hafs","Abu-Hafs"
person,"Abu’l-Walid","Abu’l-Walid"
person,"Adlène Hicheur","Adlène Hicheur"
person,"Ahmad Salama Mabruk","Ahmad Salama Mabruk"
person,"Ahmed Ismail Osman","Ahmed Ismail Osman"
person,"Ahmed Shah Masud","Ahmed Shah Masud"
person,"Ali Abdulaziz","Ali Abdulaziz"
person,"Ali Mohammed","Ali Mohammed"
person,"Amin Tarzi","Amin Tarzi"
person,"Anthony H. Cordesman","Anthony H. Cordesman"
person,"Aris Sumarsono","Aris Sumarsono"
person,"Azad Ekinci","Azad Ekinci"
person,"Baltasar Garzon","Baltasar Garzon"
person,"Bergen","Bergen"
person,"Bruce Hoffman","Bruce Hoffman"
person,"Che Guevara","Che Guevara"
person,"Condoleezza Rice","Condoleezza Rice"
person,"Daniel Brumberg","Daniel Brumberg"
person,"Dhiren Barot","Dhiren Barot"
person,"Don D. Chipman","Don D. Chipman"
person,"Dulmatin","Dulmatin"
person,"Fahmy Howeidy","Fahmy Howeidy"
person,"Fawaz A. Gerges","Fawaz A. Gerges"
person,"Fazul Abdullah Mohammed","Fazul Abdullah Mohammed"
person,"Gamal Abdel Nasser","Gamal Abdel Nasser"
person,"General Hamidou Laanigri","General Hamidou Laanigri"
person,"George Habash","George Habash"
person,"Gul Bahadur","Gul Bahadur"
person,"Habib Akdas","Habib Akdas"
person,"Haji Omar","Haji Omar"
person,"Hamid","Hamid"
person,"Hamid al-Ali","Hamid al-Ali"
person,"Hassan Ghul","Hassan Ghul"
person,"Hikmatyar","Hikmatyar"
person,"Ibn Abbas","Ibn Abbas"
person,"Ibrahim Elgabrowny","Ibrahim Elgabrowny"
person,"Isam Diraz","Isam Diraz"
person,"Jalal Shah","Jalal Shah"
person,"Jamil ur Rahman","Jamil ur Rahman"
person,"Jim Lacey","Jim Lacey"
person,"Juma Namangani","Juma Namangani"
person,"Khalid Sheikh Mohammed","Khalid Sheikh Mohammed"
person,"King Khaled","King Khaled"
person,"Lawrence Foley","Lawrence Foley"
person,"Lieutenant General Thomas Metz","Lieutenant General Thomas Metz"
person,"Maio","Maio"
person,"Malika El Aroud","Malika El Aroud"
person,"Marc Sageman","Marc Sageman"
person,"Marwin Hadid","Marwin Hadid"
person,"Maulana Jalaluddin Haqqani","Maulana Jalaluddin Haqqani"
person,"Michael Scheuer","Michael Scheuer"
person,"Mohamed Bahaiah","Mohamed Bahaiah"
person,"Mohammad Najibullah","Mohammad Najibullah"
person,"Mohammed Ibrahim Makawi","Mohammed Ibrahim Makawi"
person,"Mohammed al-Hakaymah","Mohammed al-Hakaymah"
person,"Mounir El Motassadeq","Mounir El Motassadeq"
person,"Mugniyeh","Mugniyeh"
person,"Muhammad Atef","Muhammad Atef"
person,"Muhammad Nasir-ud-deen","Muhammad Nasir-ud-deen"
person,"Muhammad al-Maqdisi","Muhammad al-Maqdisi"
person,"Muhtassib","Muhtassib"
person,"Mullah Dadullah","Mullah Dadullah"
person,"Mullah Mohammad Rabbani","Mullah Mohammad Rabbani"
person,"Muqtada al-Sadr","Muqtada al-Sadr"
person,"Myriam Benraad","Myriam Benraad"
person,"Nasir bin Hamad al-Fahd","Nasir bin Hamad al-Fahd"
person,"Nayef bin Abdul Aziz","Nayef bin Abdul Aziz"
person,"Nicholas Berg","Nicholas Berg"
person,"Nouri al-Maliki","Nouri al-Maliki"
person,"Omar Abdel-Rahman","Omar Abdel-Rahman"
person,"Panazer Boto (Benezir Bhutto)","Panazer Boto (Benezir Bhutto)"
person,"Peter L. Bergen","Peter L. Bergen"
person,"Porter Goss","Porter Goss"
person,"Prince Sultan bin Abdul Aziz","Prince Sultan bin Abdul Aziz"
person,"Qassem Hussein Muhammad","Qassem Hussein Muhammad"
person,"Rabei Osman Sayed Ahmed","Rabei Osman Sayed Ahmed"
person,"Ramzi Yousef","Ramzi Yousef"
person,"Rear Admiral Gregory Smith","Rear Admiral Gregory Smith"
person,"Richard Reid","Richard Reid"
person,"Roger Cressey","Roger Cressey"
person,"Safar Hawali","Safar Hawali"
person,"Saif Adel","Saif Adel"
person,"Saifullah Mansoor","Saifullah Mansoor"
person,"Salman al-Awdah","Salman al-Awdah"
person,"Sayf Al-Din Faysal Al-Sharif","Sayf Al-Din Faysal Al-Sharif"
person,"Sayyid Abul-A’la Mawdudi","Sayyid Abul-A’la Mawdudi"
person,"Sayyid Nosair","Sayyid Nosair"
person,"Shah Zaman","Shah Zaman"
person,"Shaykh al-Islam Ibn al-Qayyim","Shaykh al-Islam Ibn al-Qayyim"
person,"Sheikh Hassan Dahir Aweys","Sheikh Hassan Dahir Aweys"
person,"Simon Reeve","Simon Reeve"
person,"Steve Coll","Steve Coll"
person,"Suleiman Khalid Darwish","Suleiman Khalid Darwish"
person,"Tamin al-'Ani","Tamin al-'Ani"
person,"Thahir Khamis al-Dari","Thahir Khamis al-Dari"
person,"Tokhir Yoldesh","Tokhir Yoldesh"
person,"Wali Khan","Wali Khan"
person,"Yasser al-Siri","Yasser al-Siri"
person,"Younis Tsouli","Younis Tsouli"
person,"Ziad Jarrah","Ziad Jarrah"
person,"al-Nawawi","al-Nawawi"
place,"Abkhazia","Abkhazia"
place,"Addis Ababa","Addis Ababa"
place,"Afghanistan—and","Afghanistan—and"
place,"Afghanistan—will","Afghanistan—will"
place,"Airport","Airport"
place,"Albuquerque","Albuquerque"
place,"Algerians","Algerians"
place,"Amer","Amer"
place,"Anbar","Anbar"
place,"Angola","Angola"
place,"Arabia","Arabia"
place,"Argentina","Argentina"
place,"Army Delta","Army Delta"
place,"Asuncion","Asuncion"
place,"Aurora","Aurora"
place,"Ayutthaya","Ayutthaya"
place,"Badhwar Park","Badhwar Park"
place,"Baidoa","Baidoa"
place,"Baltimore","Baltimore"
place,"Bangladesh","Bangladesh"
place,"Basayev","Basayev"
place,"Bay Area","Bay Area"
place,"Beit","Beit"
place,"Ben","Ben"
place,"Bethlehem","Bethlehem"
place,"Birmingham","Birmingham"
place,"Boise","Boise"
place,"Bosnia—","Bosnia—"
place,"Bouira","Bouira"
place,"Bremerhaven","Bremerhaven"
place,"Broward County","Broward County"
place,"Buenos Aires","Buenos Aires"
place,"Busan","Busan"
place,"California—came","California—came"
place,"Camp Bucca","Camp Bucca"
place,"Camp Lejeune","Camp Lejeune"
place,"Camp Vietnam","Camp Vietnam"
place,"Capitol Hill","Capitol Hill"
place,"Casco Bay","Casco Bay"
place,"Center","Center"
place,"Central American","Central American"
place,"Central Asia—including","Central Asia—including"
place,"Central California","Central California"
place,"central England","central England"
place,"central Illinois","central Illinois"
place,"central Jaffa","central Jaffa"
place,"Central Mindanao","Central Mindanao"
place,"central Russia","central Russia"
place,"central Sulawesi Province","central Sulawesi Province"
place,"Central Washington","Central Washington"
place,"Charlestown","Charlestown"
place,"Cherry Hill","Cherry Hill"
place,"Chile","Chile"
place,"CIA","CIA"
place,"Clair River","Clair River"
place,"Cochin","Cochin"
place,"Colonel","Colonel"
place,"Comoro Islands","Comoro Islands"
place,"Connecticut","Connecticut"
place,"Cotobato City","Cotobato City"
place,"Culiacan","Culiacan"
place,"Damascus","Damascus"
place,"Davao","Davao"
place,"Delaware","Delaware"
place,"Dera","Dera"
place,"Diego","Diego"
place,"Djibouti","Djibouti"
place,"Dublin","Dublin"
place,"East Africa","East Africa"
place,"East Asian","East Asian"
place,"East Division","East Division"
place,"Eastern Anatolia","Eastern Anatolia"
place,"eastern Dammam","eastern Dammam"
place,"Eastern Front","Eastern Front"
place,"eastern Iranian","eastern Iranian"
place,"eastern Montenegro","eastern Montenegro"
place,"Eastern Raiders","Eastern Raiders"
place,"eastern Syria","eastern Syria"
place,"East Europe","East Europe"
place,"East Kalimantan","East Kalimantan"
place,"East South","East South"
place,"Edison","Edison"
place,"Eleanor Hill","Eleanor Hill"
place,"England","England"
place,"Estonia","Estonia"
place,"Europe—through","Europe—through"
place,"Faisalabad","Faisalabad"
place,"Fars","Fars"
place,"Felixtowe","Felixtowe"
place,"Fiji—are","Fiji—are"
place,"Flores","Flores"
place,"Fort Bragg","Fort Bragg"
place,"Fort Hood","Fort Hood"
place,"Fort Myers","Fort Myers"
place,"France","France"
place,"Fukuyama","Fukuyama"
place,"Garden of Eden","Garden of Eden"
place,"Genoa","Genoa"
place,"Giap","Giap"
place,"Good Harbor","Good Harbor"
place,"Grand Rapids","Grand Rapids"
place,"Groupe","Groupe"
place,"Guard Base","Guard Base"
place,"Guwahati","Guwahati"
place,"Haiti","Haiti"
place,"Haqqani","Haqqani"
place,"Heathrow","Heathrow"
place,"Hetan","Hetan"
place,"Hobart","Hobart"
place,"Hong Kong","Hong Kong"
place,"Hungary","Hungary"
place,"Iguazú River","Iguazú River"
place,"Indiana","Indiana"
place,"Institute","Institute"
place,"Iran—","Iran—"
place,"Iraqis","Iraqis"
place,"Irving","Irving"
place,"Islamic","Islamic"
place,"Israel—as","Israel—as"
place,"Izmir","Izmir"
place,"James","James"
place,"Jericho","Jericho"
place,"Jogjakarta","Jogjakarta"
place,"Jordan—it","Jordan—it"
place,"Judea","Judea"
place,"Kampala","Kampala"
place,"Karbala","Karbala"
place,"Kelantan","Kelantan"
place,"Khan","Khan"
place,"Khuzistan","Khuzistan"
place,"Kiryat","Kiryat"
place,"Korea","Korea"
place,"Kukes","Kukes"
place,"Kuwait","Kuwait"
place,"Laden Trail","Laden Trail"
place,"Lampung","Lampung"
place,"Las Vegas","Las Vegas"
place,"Le Havre","Le Havre"
place,"Libbi","Libbi"
place,"Lille","Lille"
place,"Litani River","Litani River"
place,"Londonderry","Londonderry"
place,"Louisville","Louisville"
place,"Lyons","Lyons"
place,"Madhya","Madhya"
place,"Main Boulevard","Main Boulevard"
place,"Malaysia","Malaysia"
place,"Maluku","Maluku"
place,"Manila","Manila"
place,"Mardanas","Mardanas"
place,"Markazi","Markazi"
place,"Massachusetts","Massachusetts"
place,"Mazar-","Mazar-"
place,"Medina","Medina"
place,"Melilla—tiny","Melilla—tiny"
place,"Mexico","Mexico"
place,"Milan","Milan"
place,"Minnesota","Minnesota"
place,"Mohammed","Mohammed"
place,"Monmouth County","Monmouth County"
place,"Morava River","Morava River"
place,"Mount Attacks","Mount Attacks"
place,"mount WMD","mount WMD"
place,"Multinational","Multinational"
place,"My","My"
place,"Nagoya","Nagoya"
place,"Naples","Naples"
place,"Nauru","Nauru"
place,"Nebraska","Nebraska"
place,"New Delhi","New Delhi"
place,"News Channel","News Channel"
place,"Niger","Niger"
place,"Niš","Niš"
place,"North Africa","North Africa"
place,"North America","North America"
place,"NORTHCOM","NORTHCOM"
place,"northeastern Afghanistan","northeastern Afghanistan"
place,"northeastern Oklahoma","northeastern Oklahoma"
place,"Northeast Intelligence","Northeast Intelligence"
place,"Northern Afghanistan","Northern Afghanistan"
place,"northern Balkh","northern Balkh"
place,"northern Egypt","northern Egypt"
place,"northern Gaza Strip","northern Gaza Strip"
place,"northern Iraq","northern Iraq"
place,"northern Java","northern Java"
place,"northern Mexico","northern Mexico"
place,"northern Pakistan","northern Pakistan"
place,"northern Sri Lanka","northern Sri Lanka"
place,"northern Virginia","northern Virginia"
place,"North Gate","North Gate"
place,"North Las Vegas","North Las Vegas"
place,"North Texas","North Texas"
place,"northwestern Africa","northwestern Africa"
place,"northwestern Pakistan—meant","northwestern Pakistan—meant"
place,"northwest Pakistan","northwest Pakistan"
place,"Nottingham","Nottingham"
place,"Nurjaman","Nurjaman"
place,"Ocean County","Ocean County"
place,"Oman","Oman"
place,"Orinoco Belt","Orinoco Belt"
place,"Ouarsenis Mountains","Ouarsenis Mountains"
place,"Pakistan-controlled","Pakistan-controlled"
place,"Palestinians—al-","Palestinians—al-"
place,"Panjshir Valley","Panjshir Valley"
place,"Pascagoula","Pascagoula"
place,"Paya Lebar","Paya Lebar"
place,"Pennsylvania","Pennsylvania"
place,"Peshawar","Peshawar"
place,"Pierce County","Pierce County"
place,"Pocono Mountains","Pocono Mountains"
place,"Port of Spain","Port of Spain"
place,"Prince George","Prince George"
place,"Putin","Putin"
place,"Queens","Queens"
place,"Raiwind","Raiwind"
place,"Rawalpindi—sites","Rawalpindi—sites"
place,"Rehman","Rehman"
place,"Rhode Island","Rhode Island"
place,"Rivera","Rivera"
place,"Rocky Mountain","Rocky Mountain"
place,"Rotterdam","Rotterdam"
place,"Sadat","Sadat"
place,"Sahel Belt","Sahel Belt"
place,"Samana","Samana"
place,"San Francisco Bay","San Francisco Bay"
place,"Santiago","Santiago"
place,"SARS","SARS"
place,"Seattle","Seattle"
place,"Serbs","Serbs"
place,"Sharm","Sharm"
place,"Shukrijumah","Shukrijumah"
place,"Singapore Straits","Singapore Straits"
place,"Small Mountain","Small Mountain"
place,"Sonoran Desert","Sonoran Desert"
place,"South American—predominantly","South American—predominantly"
place,"South Asians","South Asians"
place,"South Darfur","South Darfur"
place,"Southeast Asia—anywhere","Southeast Asia—anywhere"
place,"Southeast Asia—or","Southeast Asia—or"
place,"southeastern Turkey","southeastern Turkey"
place,"southern Afghanistan","southern Afghanistan"
place,"southern Asian","southern Asian"
place,"southern Chechnya","southern Chechnya"
place,"Southern Discomfort","Southern Discomfort"
place,"southern Gaza","southern Gaza"
place,"Southern Insurgency","Southern Insurgency"
place,"southern Kazakhstan","southern Kazakhstan"
place,"southern New Jersey","southern New Jersey"
place,"southern Philippines-based","southern Philippines-based"
place,"southern Saudi Arabia","southern Saudi Arabia"
place,"Southern Sudan","Southern Sudan"
place,"southern U.S.","southern U.S."
place,"south Florida","south Florida"
place,"south Lebanon","south Lebanon"
place,"South Punjab","South Punjab"
place,"South Vietnamese—to","South Vietnamese—to"
place,"southwestern Afghanistan","southwestern Afghanistan"
place,"southwest France","southwest France"
place,"Split","Split"
place,"State","State"
place,"Stuttgart","Stuttgart"
place,"Sulu Island","Sulu Island"
place,"Superior","Superior"
place,"Switzerland","Switzerland"
place,"Tacoma","Tacoma"
place,"Tallinn","Tallinn"
place,"Tarut Island","Tarut Island"
place,"Tells Hill","Tells Hill"
place,"Terrorist Base","Terrorist Base"
place,"the Persian Gulf","the Persian Gulf"
place,"Tirah Valley","Tirah Valley"
place,"Tombouctou","Tombouctou"
place,"Transit Station","Transit Station"
place,"Tripura","Tripura"
place,"Tunis","Tunis"
place,"U","U"
place,"Union","Union"
place,"University Park","University Park"
place,"U.S.","U.S."
place,"Utah","Utah"
place,"Vancouver","Vancouver"
place,"Vermont","Vermont"
place,"Virginia Beach","Virginia Beach"
place,"War","War"
place,"West","West"
place,"West Beirut","West Beirut"
place,"West Darfur","West Darfur"
place,"Western Airlines","Western Airlines"
place,"western Baghdad","western Baghdad"
place,"Western COIN","Western COIN"
place,"western European","western European"
place,"Western Hemispheric","Western Hemispheric"
place,"western Iranian","western Iranian"
place,"western Macedonian","western Macedonian"
place,"western New York","western New York"
place,"Western President","Western President"
place,"Western Targets","Western Targets"
place,"Western Zionists","Western Zionists"
place,"West Is","West Is"
place,"West London—became","West London—became"
place,"West Papua","West Papua"
place,"West Wing","West Wing"
place,"Wilmington","Wilmington"
place,"Worcestershire","Worcestershire"
place,"Yasir","Yasir"
place,"Yucatan","Yucatan"
place,"Zamashke","Zamashke"
place,"Zelm","Zelm"
